Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($)
2017,Alabama,6.4,19.1,58.5,11.6,3.0,0.8,0.7,158.0,10.7,2.7,8.0,0.2,89.1,2.8,7.8,7.2,11.8,20.8,16.2,20.6,13.0,74.553,0.2
2017,Alaska,2.3,1.9,49.9,36.4,7.4,1.4,0.5,286.9,7.9,2.2,5.7,0.3,91.7,1.8,3.1,3.8,7.1,14.9,16.4,26.8,26.1,103.942,0.0
2017,Arizona,2.4,5.5,58.1,23.8,6.7,2.0,1.4,238.8,9.2,2.2,7.1,0.3,90.5,2.7,6.5,6.3,11.3,19.0,16.1,20.7,17.3,80.853,0.1
2017,Arkansas,7.0,22.3,59.1,8.7,1.7,0.7,0.4,142.8,6.1,1.9,4.2,0.3,93.6,3.0,8.1,7.3,12.9,21.5,16.9,17.8,12.5,71.081,0.3
2017,California,1.0,1.1,16.6,28.5,24.6,13.1,15.2,529.0,13.6,2.8,10.8,0.5,85.8,1.9,4.5,3.9,7.2,13.8,13.6,22.6,32.5,108.609,0.0
2017,Colorado,1.4,2.1,32.9,40.2,15.7,4.6,3.1,357.7,13.8,2.8,10.9,0.4,85.8,2.1,4.1,4.1,8.7,16.4,16.1,24.4,24.2,97.207,0.0
2017,Connecticut,1.2,2.7,51.8,27.0,9.1,3.5,4.7,277.9,18.0,3.0,15.0,0.7,81.3,1.4,3.1,3.6,7.1,14.4,14.5,24.3,31.5,109.56,0.0
2017,Delaware,2.0,2.1,58.9,28.4,5.9,1.6,1.1,258.9,14.6,2.8,11.8,0.4,85.0,3.7,4.6,5.4,9.0,18.6,15.9,20.8,22.1,87.389,0.0
2017,District of Columbia,1.5,0.6,11.1,25.5,25.7,18.4,17.2,609.9,16.5,2.3,14.1,0.6,82.9,2.1,4.8,2.1,3.2,10.6,10.3,20.1,46.7,138.977,0.0
2017,Florida,3.0,8.1,56.3,22.4,6.2,1.9,2.1,232.1,11.1,2.4,8.7,0.4,88.5,2.9,7.5,6.8,12.1,19.3,15.7,19.0,16.6,76.655,0.1
