Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($)
2016,Alabama,6.6,19.7,58.8,11.0,2.4,0.9,0.6,153.9,10.8,2.8,8.0,0.4,88.7,3.1,8.8,7.5,11.9,19.8,17.5,18.3,13.1,73.126,0.1
2016,Alaska,2.0,2.4,49.7,36.0,7.7,1.5,0.6,286.6,8.0,2.7,5.3,0.5,91.5,1.6,2.8,3.1,6.6,16.3,14.5,29.2,25.9,106.84,0.0
2016,Arizona,2.6,7.4,60.0,21.2,5.6,1.8,1.4,222.9,10.9,2.7,8.2,0.3,88.7,2.9,7.0,6.5,11.7,20.1,16.4,19.2,16.1,77.219,0.1
2016,Arkansas,7.3,23.3,57.8,8.6,1.8,0.7,0.5,139.7,6.7,2.1,4.6,0.4,92.8,2.4,8.1,8.0,14.0,22.2,16.1,17.9,11.2,69.016,0.2
2016,California,1.1,1.4,19.4,29.4,23.1,12.0,13.7,491.1,15.2,3.1,12.0,0.7,84.2,2.0,4.7,4.2,7.8,14.8,14.1,21.8,30.6,103.266,0.0
2016,Colorado,1.6,2.4,41.1,35.5,13.1,3.7,2.6,322.1,14.4,3.7,10.7,0.4,85.2,1.7,4.8,5.0,9.1,17.9,16.8,22.3,22.5,91.592,0.0
2016,Connecticut,1.3,2.4,50.8,28.5,8.9,3.4,4.7,281.8,18.5,3.3,15.2,0.7,80.8,1.3,3.1,3.4,6.7,14.3,15.0,24.9,31.2,109.821,0.0
2016,Delaware,1.3,3.4,61.7,26.9,4.4,1.5,0.8,246.5,14.1,2.7,11.4,0.8,85.2,2.9,4.9,5.4,9.8,19.2,16.6,23.5,17.5,85.415,0.0
2016,District of Columbia,0.8,0.9,13.8,24.2,25.2,18.0,17.2,602.7,15.1,3.9,11.2,0.6,84.3,2.7,3.9,2.5,4.3,9.0,9.9,20.1,47.6,143.414,0.0
2016,Florida,3.4,10.6,57.2,19.4,5.5,1.8,2.0,213.8,12.3,2.6,9.7,0.5,87.2,2.9,8.1,7.3,12.5,19.8,15.8,18.3,15.3,74.005,0.1
2016,Georgia,5.0,13.7,58.0,15.6,5.1,1.6,1.2,179.6,11.9,3.3,8.6,0.5,87.6,2.8,6.3,5.8,10.8,19.8,16.1,20.4,18.0,81.035,0.1
2016,Hawaii,0.9,0.5,12.5,24.7,30.6,18.0,12.8,592.7,19.4,2.7,16.7,1.0,79.7,1.9,3.8,3.8,6.4,14.5,16.0,24.1,29.6,106.629,0.0
2016,Idaho,2.0,7.1,67.4,17.8,3.7,1.1,0.9,196.8,12.4,3.8,8.7,0.4,87.1,3.0,7.0,7.2,12.6,23.4,17.3,18.7,10.8,70.991,0.1
2016,Illinois,3.6,13.6,55.0,18.3,5.7,2.1,1.7,200.0,13.5,2.5,11.0,0.4,86.1,2.2,5.4,5.1,9.7,17.0,16.5,22.4,21.8,90.533,0.0
2016,Indiana,5.0,23.0,60.1,8.8,2.1,0.5,0.4,142.9,13.5,2.6,10.8,0.4,86.1,2.0,6.4,6.6,12.5,22.1,18.2,19.5,12.6,75.39,0.2
2016,Iowa,4.9,21.3,59.9,10.8,2.0,0.7,0.3,152.2,13.7,3.5,10.3,0.5,85.8,1.7,5.1,6.0,11.4,20.8,19.7,22.0,13.4,81.234,0.1
2016,Kansas,6.6,20.1,57.5,11.2,3.1,1.0,0.5,158.7,10.0,2.4,7.7,0.2,89.7,1.9,5.2,5.9,11.1,20.9,17.7,22.1,15.2,81.296,0.1
2016,Kentucky,6.0,19.9,60.9,9.7,2.3,0.7,0.6,149.1,13.9,2.6,11.3,0.5,85.7,2.7,8.1,7.0,12.6,20.9,17.3,19.4,12.1,73.377,0.3
2016,Louisiana,5.6,13.2,63.0,13.0,3.3,0.9,1.0,173.2,8.5,2.2,6.3,0.4,91.1,2.8,8.1,6.8,11.0,19.3,15.8,20.4,15.7,77.908,0.2
2016,Maine,3.2,10.8,63.7,16.6,4.0,0.8,0.9,199.2,16.2,2.5,13.8,0.4,83.4,2.1,7.1,6.5,11.2,21.3,17.9,21.1,12.7,77.452,0.1
2016,Maryland,1.6,3.1,42.1,33.3,13.0,4.1,2.8,315.6,17.2,3.3,13.8,0.5,82.3,1.6,3.9,3.5,6.7,14.8,14.7,24.0,30.8,108.107,0.0
2016,Massachusetts,0.9,1.1,31.9,37.4,17.9,5.9,4.9,373.3,19.8,3.0,16.8,0.5,79.7,1.4,3.2,3.3,6.4,13.4,14.4,24.8,33.0,113.106,0.0
2016,Michigan,6.9,18.5,57.7,12.6,2.8,0.8,0.6,159.7,13.8,2.5,11.3,0.4,85.8,2.2,6.4,6.9,11.6,20.5,16.7,20.8,14.9,78.235,0.1
