Year,Region,NAME,Population,Net Population Change,Net Migration,Net Migration Change
2018,0,United States,326687501,1701962,701823,2.153911416
2018,1,Northeast Region,56046620,-12620,-119642,-2.134446852
2018,2,Midwest Region,68236628,109847,-62915,-0.922754872
2018,3,South Region,124569433,1027244,648256,5.225519021
2018,4,West Region,77834820,577491,236124,3.044951038
2018,3,Alabama,4887681,13195,8658,1.773786496
2018,4,Alaska,735139,-4561,-10220,-13.85913988
2018,4,Arizona,7158024,114016,92050,12.96293376
2018,3,Arkansas,3009733,8388,2882,0.958896225
2018,4,California,39461588,103091,-83981,-2.130954312
2018,4,Colorado,5691287,79402,53185,9.410632697
2018,1,Connecticut,3571520,-1777,-5478,-1.53341926
2018,3,Delaware,965479,8656,7335,7.631475179
2018,3,District of Columbia,701547,6641,2431,3.4816782230000003
2018,3,Florida,21244317,280704,267130,12.65781099
2018,3,Georgia,10511131,100801,56844,5.434037327
2018,4,Hawaii,1420593,-3800,-8498,-5.974018853
2018,4,Idaho,1750536,32821,24142,13.92171443
2018,2,Illinois,12723071,-55757,-93439,-7.328003299
2018,2,Indiana,6695497,37419,19003,2.84612922
2018,2,Iowa,3148618,7068,-2064,-0.6562622810000001
2018,2,Kansas,2911359,2641,-7511,-2.581065508
2018,3,Kentucky,4461153,8885,1121,0.25153081
2018,3,Louisiana,4659690,-10870,-24483,-5.248090887
2018,1,Maine,1339057,4445,6642,4.968453462
2018,3,Maryland,6035802,11934,-8544,-1.416954195
2018,1,Massachusetts,6882635,22846,11129,1.619656037
2018,2,Michigan,9984072,10958,-2994,-0.300042301
2018,2,Minnesota,5606249,40019,15822,2.8323168030000003
2018,3,Mississippi,2981020,-7490,-12762,-4.275713498
2018,2,Missouri,6121623,14953,3058,0.500151575
2018,4,Montana,1060665,8183,6284,5.94752755
2018,2,Nebraska,1925614,9667,-54,-0.028113572000000003
2018,4,Nevada,3027341,57436,46658,15.55980862
2018,1,New Hampshire,1353465,4678,5076,3.756866495
2018,1,New Jersey,8886025,500,-24811,-2.792215648
2018,4,New Mexico,2092741,957,-3807,-1.81956136
2018,1,New York,19530351,-59221,-125303,-6.406096454
2018,3,North Carolina,10381615,113382,86828,8.409553426
2018,2,North Dakota,758080,3138,-1295,-1.711805909
2018,2,Ohio,11676341,16691,956,0.081933525
2018,3,Oklahoma,3940235,8919,-55,-0.013974374
2018,4,Oregon,4181886,38261,31019,7.451554625
2018,1,Pennsylvania,12800922,13281,10944,0.8553821490000001
2018,1,Rhode Island,1058287,2614,1884,1.782436754
2018,3,South Carolina,5084156,62888,56397,11.16172859
2018,2,South Dakota,878698,5830,1178,1.345082058
2018,3,Tennessee,6771631,62832,50847,7.543824641
2018,3,Texas,28628666,333393,155073,5.448428297
2018,4,Utah,3153550,52508,21841,6.983988724
2018,1,Vermont,624358,14,275,0.440457371
2018,3,Virginia,8501286,37699,6673,0.786684345
2018,4,Washington,7523869,100507,70762,9.468241977
2018,3,West Virginia,1804291,-12713,-8119,-4.484031265
2018,2,Wisconsin,5807406,17220,4425,0.763089441
2018,4,Wyoming,577601,-1330,-3311,-5.725738674
2018,X,Puerto Rico,3193354,-131932,-123399,-37.86035124
