Year,Region,NAME,Population,Net Population Change,Net Migration,Net Migration Change
2014,0,United States,318301008,2307293,926546,2.921499948
2014,1,Northeast Region,56006011,104205,-55176,-0.986097334
2014,2,Midwest Region,67745167,184788,-51617,-0.762969465
2014,3,South Region,119624037,1259637,733183,6.161501031
2014,4,West Region,74925793,758663,300156,4.026428538
2014,3,Alabama,4841799,11718,2725,0.563489208
2014,4,Alaska,736283,-785,-8443,-11.46094855
2014,4,Arizona,6730413,97649,61260,9.168478424
2014,3,Arkansas,2967392,7992,-271,-0.091449135
2014,4,California,38596972,336185,84680,2.203551108
2014,4,Colorado,5350101,81066,48408,9.117125912999999
2014,1,Connecticut,3594524,-317,-6980,-1.941757026
2014,3,Delaware,932487,8911,5973,6.436203944
2014,3,District of Columbia,662328,11747,6983,10.63744707
2014,3,Florida,19845911,300290,260032,13.20243143
2014,3,Georgia,10067278,94799,39859,3.977992348
2014,4,Hawaii,1414538,6295,-1855,-1.314306707
2014,4,Idaho,1631112,19906,9804,6.047525257999999
2014,2,Illinois,12884493,-10636,-65886,-5.111479137
2014,2,Indiana,6593644,24931,1883,0.28611896800000003
2014,2,Iowa,3109350,16353,5857,1.888639897
2014,2,Kansas,2900475,7263,-6531,-2.254522897
2014,3,Kentucky,4414349,9690,-2109,-0.478285086
2014,3,Louisiana,4644013,19486,-1121,-0.241893545
2014,1,Maine,1330513,2504,3314,2.493114595
2014,3,Maryland,5957283,34095,6647,1.118979206
2014,1,Massachusetts,6762596,49281,33166,4.922264625
2014,2,Michigan,9929848,16783,-5336,-0.53782426
2014,2,Minnesota,5451079,37600,9176,1.689162136
2014,3,Mississippi,2990468,1757,-6380,-2.1340722530000003
2014,2,Missouri,6056202,15487,-2775,-0.458794584
2014,4,Montana,1021869,8300,5238,5.146803783999999
2014,2,Nebraska,1879321,14042,3339,1.78336805
2014,4,Nevada,2817628,41658,27307,9.763661958
2014,1,New Hampshire,1333341,6719,5779,4.345173222
2014,1,New Jersey,8864525,7553,-25416,-2.868380702
2014,4,New Mexico,2089568,-2705,-11999,-5.738620861
2014,1,New York,19651049,26602,-61469,-3.1301450660000003
2014,3,North Carolina,9932887,89551,52201,5.279167817
2014,2,North Dakota,737401,15365,10275,14.08077224
2014,2,Ohio,11602700,26016,-649,-0.055998037
2014,3,Oklahoma,3878187,24973,10632,2.750342402
2014,4,Oregon,3963244,40776,28978,7.3494948839999985
2014,1,Pennsylvania,12788313,12004,-2067,-0.16170784800000002
2014,1,Rhode Island,1055936,855,-70,-0.066318746
2014,3,South Carolina,4823617,59537,46059,9.607938172999999
2014,2,South Dakota,849129,6813,1451,1.715692795
2014,3,Tennessee,6541223,46883,29657,4.550167875
2014,3,Texas,26964333,484067,267305,10.00306879
2014,4,Utah,2936879,39239,4911,1.68342926
2014,1,Vermont,625214,-996,-1433,-2.290191014
2014,3,Virginia,8310993,58566,18287,2.208118855
2014,4,Washington,7054655,90670,54672,7.799900704
2014,3,West Virginia,1849489,-4425,-3296,-1.779984517
2014,2,Wisconsin,5751525,14771,-2421,-0.421473051
2014,4,Wyoming,582531,409,-2805,-4.816885373
2014,X,Puerto Rico,3534874,-58203,-65089,-18.26303239
