Year,Region,NAME,value
2018.0,3,Alabama,4591.0
2018.0,4,Alaska,2155.0
2018.0,4,Arizona,33670.0
2018.0,3,Arkansas,2573.0
2018.0,4,California,2573.0
2018.0,4,Colorado,18755.0
2018.0,1,Connecticut,6366.0
2018.0,3,Delaware,1143.0
2018.0,3,Florida,22464.0
2018.0,3,Georgia,11753.0
2018.0,4,Hawaii,12848.0
2018.0,4,Idaho,4224.0
2018.0,2,Illinois,22165.0
2018.0,2,Indiana,6313.0
2018.0,2,Iowa,2461.0
2018.0,2,Kansas,4826.0
2018.0,3,Kentucky,2010.0
2018.0,3,Louisiana,4441.0
2018.0,1,Maine,1294.0
2018.0,3,Maryland,11042.0
2018.0,1,Massachusetts,17529.0
2018.0,2,Michigan,10335.0
2018.0,2,Minnesota,6221.0
2018.0,3,Mississippi,2393.0
2018.0,2,Missouri,7981.0
2018.0,4,Montana,2481.0
2018.0,2,Nebraska,3619.0
2018.0,4,Nevada,22433.0
2018.0,1,New Hampshire,682.0
2018.0,1,New Jersey,11666.0
2018.0,4,New Mexico,3822.0
2018.0,1,New York,34848.0
2018.0,3,North Carolina,11400.0
2018.0,2,North Dakota,1909.0
2018.0,2,Ohio,13999.0
2018.0,3,Oklahoma,4901.0
2018.0,4,Oregon,24050.0
2018.0,1,Pennsylvania,11848.0
2018.0,1,Rhode Island,1738.0
2018.0,3,South Carolina,4896.0
2018.0,2,South Dakota,1296.0
2018.0,3,Tennessee,8060.0
2018.0,3,Texas,37810.0
2018.0,4,Utah,9440.0
2018.0,1,Vermont,1641.0
2018.0,3,Virginia,17725.0
2018.0,4,Washington,38007.0
2018.0,3,West Virginia,1246.0
2018.0,2,Wisconsin,5364.0
2018.0,4,Wyoming,1526.0
2018.0,0,United States,1526.0
2018.0,1,Northeast Region,1526.0
2018.0,2,Midwest Region,1526.0
2018.0,3,South Region,1526.0
2018.0,4,West Region,1526.0
2018.0,3,District of Columbia,1526.0
2018.0,X,Puerto Rico,1526.0
