Year,Region,NAME,value
2014.0,3,Alabama,10439.0
2014.0,4,Alaska,7098.0
2014.0,4,Arizona,35200.0
2014.0,3,Arkansas,1570.0
2014.0,4,California,1570.0
2014.0,4,Colorado,17500.0
2014.0,1,Connecticut,5994.0
2014.0,3,Delaware,1067.0
2014.0,3,Florida,25622.0
2014.0,3,Georgia,8669.0
2014.0,4,Hawaii,12753.0
2014.0,4,Idaho,7303.0
2014.0,2,Illinois,21441.0
2014.0,2,Indiana,6680.0
2014.0,2,Iowa,3618.0
2014.0,2,Kansas,6836.0
2014.0,3,Kentucky,3217.0
2014.0,3,Louisiana,4884.0
2014.0,1,Maine,761.0
2014.0,3,Maryland,6996.0
2014.0,1,Massachusetts,10750.0
2014.0,2,Michigan,11601.0
2014.0,2,Minnesota,9449.0
2014.0,3,Mississippi,2336.0
2014.0,2,Missouri,7638.0
2014.0,4,Montana,2862.0
2014.0,2,Nebraska,3143.0
2014.0,4,Nevada,29985.0
2014.0,1,New Hampshire,1119.0
2014.0,1,New Jersey,12884.0
2014.0,4,New Mexico,4744.0
2014.0,1,New York,34201.0
2014.0,3,North Carolina,12550.0
2014.0,2,North Dakota,1112.0
2014.0,2,Ohio,8267.0
2014.0,3,Oklahoma,6511.0
2014.0,4,Oregon,21028.0
2014.0,1,Pennsylvania,14858.0
2014.0,1,Rhode Island,817.0
2014.0,3,South Carolina,3925.0
2014.0,2,South Dakota,2964.0
2014.0,3,Tennessee,5620.0
2014.0,3,Texas,38990.0
2014.0,4,Utah,14273.0
2014.0,1,Vermont,1041.0
2014.0,3,Virginia,17847.0
2014.0,4,Washington,32837.0
2014.0,3,West Virginia,897.0
2014.0,2,Wisconsin,6451.0
2014.0,4,Wyoming,1401.0
2014.0,0,United States,1401.0
2014.0,1,Northeast Region,1401.0
2014.0,2,Midwest Region,1401.0
2014.0,3,South Region,1401.0
2014.0,4,West Region,1401.0
2014.0,3,District of Columbia,1401.0
2014.0,X,Puerto Rico,1401.0
