Year,Region,NAME,value
2011.0,3,Alabama,2087.0
2011.0,4,Alaska,7358.0
2011.0,4,Arizona,35650.0
2011.0,3,Arkansas,2648.0
2011.0,4,California,2648.0
2011.0,4,Colorado,21245.0
2011.0,1,Connecticut,3073.0
2011.0,3,Delaware,1302.0
2011.0,3,Florida,22094.0
2011.0,3,Georgia,13303.0
2011.0,4,Hawaii,9864.0
2011.0,4,Idaho,4796.0
2011.0,2,Illinois,20834.0
2011.0,2,Indiana,4673.0
2011.0,2,Iowa,3324.0
2011.0,2,Kansas,2810.0
2011.0,3,Kentucky,1201.0
2011.0,3,Louisiana,3600.0
2011.0,1,Maine,1658.0
2011.0,3,Maryland,7793.0
2011.0,1,Massachusetts,10244.0
2011.0,2,Michigan,12069.0
2011.0,2,Minnesota,5687.0
2011.0,3,Mississippi,2092.0
2011.0,2,Missouri,7677.0
2011.0,4,Montana,2599.0
2011.0,2,Nebraska,1955.0
2011.0,4,Nevada,36159.0
2011.0,1,New Hampshire,1222.0
2011.0,1,New Jersey,8053.0
2011.0,4,New Mexico,5904.0
2011.0,1,New York,25629.0
2011.0,3,North Carolina,8708.0
2011.0,2,North Dakota,1392.0
2011.0,2,Ohio,10474.0
2011.0,3,Oklahoma,5113.0
2011.0,4,Oregon,18165.0
2011.0,1,Pennsylvania,8550.0
2011.0,1,Rhode Island,1103.0
2011.0,3,South Carolina,5758.0
2011.0,2,South Dakota,1004.0
2011.0,3,Tennessee,8761.0
2011.0,3,Texas,37087.0
2011.0,4,Utah,8944.0
2011.0,1,Vermont,745.0
2011.0,3,Virginia,15753.0
2011.0,4,Washington,36481.0
2011.0,3,West Virginia,832.0
2011.0,2,Wisconsin,5668.0
2011.0,4,Wyoming,2047.0
2011.0,0,United States,2047.0
2011.0,1,Northeast Region,2047.0
2011.0,2,Midwest Region,2047.0
2011.0,3,South Region,2047.0
2011.0,4,West Region,2047.0
2011.0,3,District of Columbia,2047.0
2011.0,X,Puerto Rico,2047.0
