Year,Region,NAME,value
2017.0,3,Alabama,3715.0
2017.0,4,Alaska,2606.0
2017.0,4,Arizona,26907.0
2017.0,3,Arkansas,3471.0
2017.0,4,California,3471.0
2017.0,4,Colorado,25038.0
2017.0,1,Connecticut,5935.0
2017.0,3,Delaware,491.0
2017.0,3,Florida,24611.0
2017.0,3,Georgia,10233.0
2017.0,4,Hawaii,12776.0
2017.0,4,Idaho,5626.0
2017.0,2,Illinois,27117.0
2017.0,2,Indiana,5190.0
2017.0,2,Iowa,4163.0
2017.0,2,Kansas,5202.0
2017.0,3,Kentucky,3431.0
2017.0,3,Louisiana,5169.0
2017.0,1,Maine,2578.0
2017.0,3,Maryland,11303.0
2017.0,1,Massachusetts,16774.0
2017.0,2,Michigan,11538.0
2017.0,2,Minnesota,7487.0
2017.0,3,Mississippi,3299.0
2017.0,2,Missouri,6841.0
2017.0,4,Montana,2809.0
2017.0,2,Nebraska,2419.0
2017.0,4,Nevada,23768.0
2017.0,1,New Hampshire,1216.0
2017.0,1,New Jersey,12906.0
2017.0,4,New Mexico,5312.0
2017.0,1,New York,34278.0
2017.0,3,North Carolina,13523.0
2017.0,2,North Dakota,2223.0
2017.0,2,Ohio,11410.0
2017.0,3,Oklahoma,4890.0
2017.0,4,Oregon,20548.0
2017.0,1,Pennsylvania,16141.0
2017.0,1,Rhode Island,1763.0
2017.0,3,South Carolina,7134.0
2017.0,2,South Dakota,1403.0
2017.0,3,Tennessee,5413.0
2017.0,3,Texas,40999.0
2017.0,4,Utah,9925.0
2017.0,1,Vermont,895.0
2017.0,3,Virginia,21162.0
2017.0,4,Washington,33143.0
2017.0,3,West Virginia,789.0
2017.0,2,Wisconsin,9348.0
2017.0,4,Wyoming,1395.0
2017.0,0,United States,1395.0
2017.0,1,Northeast Region,1395.0
2017.0,2,Midwest Region,1395.0
2017.0,3,South Region,1395.0
2017.0,4,West Region,1395.0
2017.0,3,District of Columbia,1395.0
2017.0,X,Puerto Rico,1395.0
