Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
United States2,"321,994,428","+/- 33,543","275,921,008","+/- 183,767","36,468,599","+/- 171,943","7,471,493","+/- 70,316","101,466","+/- 8,690","42,972","+/- 5,364","163,214","+/- 11,408","69,850","+/- 6,892","661,026","+/- 18,084","194,296","+/- 13,350","98,971","+/- 7,408","35,653","+/- 4,776","65,018","+/- 5,748","447,586","+/- 18,829","254,956","+/- 13,533","66,597","+/- 6,850","56,954","+/- 5,555","339,435","+/- 14,683","132,094","+/- 8,302","79,358","+/- 7,701","99,660","+/- 7,863","99,490","+/- 8,060","102,212","+/- 8,836","27,425","+/- 3,471","183,900","+/- 9,130","173,033","+/- 9,705","148,059","+/- 9,066","125,130","+/- 8,352","78,043","+/- 8,539","153,284","+/- 10,922","28,012","+/- 3,980","47,760","+/- 4,274","98,226","+/- 7,925","41,740","+/- 4,716","224,961","+/- 10,257","67,296","+/- 6,670","452,580","+/- 15,392","243,206","+/- 15,186","37,344","+/- 4,404","206,479","+/- 11,387","96,005","+/- 8,055","109,454","+/- 8,586","254,634","+/- 13,485","30,166","+/- 4,054","128,797","+/- 8,860","27,412","+/- 3,610","155,665","+/- 9,359","467,338","+/- 17,666","89,721","+/- 7,588","20,872","+/- 2,550","262,563","+/- 13,210","198,813","+/- 12,100","43,321","+/- 5,304","113,492","+/- 10,148","25,954","+/- 4,190","2,133,328","+/- 38,070","97,488","+/- 9,821","18,321","+/- 3,416","2,017,519","+/- 36,251"
Alabama,"4,819,343","+/- 3,710","4,158,224","+/- 20,321","535,649","+/- 18,004","111,803","+/- 8,786",N/A,N/A,424,+/- 391,"1,513","+/- 1,198",517,+/- 630,"2,328",+/- 958,"1,974","+/- 1,054",336,+/- 379,22,+/- 42,378,+/- 254,"14,171","+/- 2,012","22,363","+/- 3,888",93,+/- 140,118,+/- 134,"2,399","+/- 1,190","2,295","+/- 1,387",627,+/- 381,646,+/- 508,"2,157",+/- 948,"2,308","+/- 1,494",56,+/- 88,801,+/- 385,450,+/- 373,"1,821",+/- 725,420,+/- 352,"7,798","+/- 2,365",544,+/- 315,247,+/- 349,167,+/- 272,"1,989","+/- 1,076",245,+/- 203,"1,103",+/- 822,"1,007","+/- 1,360","2,203",+/- 988,"4,245","+/- 1,672",878,"+/- 1,209","1,702",+/- 859,877,+/- 716,444,+/- 681,"1,595",+/- 682,848,+/- 931,"1,896",+/- 988,96,+/- 177,"8,018","+/- 2,347","8,825","+/- 2,444",998,+/- 929,0,+/- 200,"4,277","+/- 1,530","1,289",+/- 862,"1,070","+/- 1,211","1,121",+/- 991,104,+/- 193,"13,667","+/- 2,273",476,+/- 469,0,+/- 200,"13,191","+/- 2,200"
Alaska,"730,874","+/- 1,438","595,804","+/- 9,147","98,168","+/- 8,242","30,199","+/- 4,584",942,+/- 688,N/A,N/A,"1,387",+/- 918,203,+/- 266,"3,556","+/- 1,253","1,487",+/- 684,0,+/- 153,0,+/- 153,0,+/- 153,906,+/- 530,422,+/- 353,424,+/- 385,225,+/- 200,723,+/- 671,186,+/- 205,"1,083","+/- 1,718",17,+/- 26,397,+/- 319,327,+/- 339,225,+/- 246,325,+/- 513,111,+/- 164,524,+/- 335,"1,077",+/- 765,172,+/- 134,143,+/- 190,156,+/- 217,282,+/- 339,633,+/- 363,0,+/- 153,485,+/- 547,64,+/- 91,757,+/- 616,345,+/- 381,103,+/- 105,448,+/- 643,373,+/- 476,"1,232",+/- 620,274,+/- 286,216,+/- 317,270,+/- 208,6,+/- 12,544,+/- 385,"2,165","+/- 1,206",465,+/- 461,0,+/- 153,360,+/- 259,"3,653","+/- 1,445",0,+/- 153,"2,500","+/- 2,858",6,+/- 13,"6,703","+/- 2,197",0,+/- 153,965,+/- 797,"5,738","+/- 2,168"
Arizona,"6,935,358","+/- 3,888","5,717,189","+/- 24,333","911,120","+/- 22,690","261,727","+/- 11,986","1,337",+/- 701,"2,255",+/- 857,N/A,N/A,"1,763",+/- 978,"59,233","+/- 6,519","12,810","+/- 3,421",730,+/- 434,810,+/- 615,362,+/- 288,"8,522","+/- 2,422","5,278","+/- 2,444","2,651","+/- 1,173","3,991","+/- 2,179","13,095","+/- 3,782","3,381","+/- 1,203","3,423","+/- 1,194","2,506","+/- 1,035","1,708","+/- 1,188","2,174","+/- 1,785",194,+/- 191,"1,108",+/- 503,"2,382","+/- 1,520","5,651","+/- 1,741","7,093","+/- 2,146","1,261",+/- 809,"5,195","+/- 1,642","2,436","+/- 1,187","1,870","+/- 1,054","7,647","+/- 2,655",578,+/- 857,"4,329","+/- 1,754","6,455","+/- 2,078","5,674","+/- 1,870","4,429","+/- 1,867","2,725","+/- 1,056","5,095","+/- 1,425","4,856","+/- 1,898","10,701","+/- 2,729","6,332","+/- 1,901",141,+/- 240,"1,214","+/- 1,004","1,458",+/- 764,"2,194",+/- 890,"12,793","+/- 2,170","8,594","+/- 3,233",96,+/- 144,"3,593","+/- 1,166","14,392","+/- 3,663",318,+/- 402,"3,897","+/- 1,221",997,+/- 910,"45,322","+/- 5,364",438,+/- 358,91,+/- 106,"44,793","+/- 5,315"
Arkansas,"2,968,395","+/- 3,103","2,509,717","+/- 16,654","370,309","+/- 15,515","79,411","+/- 7,492",574,+/- 572,241,+/- 349,"1,060",+/- 600,N/A,N/A,"5,334","+/- 1,766","2,547","+/- 1,084",0,+/- 201,0,+/- 201,0,+/- 201,"1,525",+/- 626,"1,805","+/- 1,181",0,+/- 201,582,+/- 521,"2,252",+/- 891,"1,810","+/- 1,229",176,+/- 141,"2,021",+/- 898,"1,222",+/- 850,"2,867","+/- 1,335",0,+/- 201,"1,425","+/- 1,474",97,+/- 193,961,+/- 648,808,+/- 557,"4,171","+/- 1,501","6,759","+/- 1,817",118,+/- 120,475,+/- 387,439,+/- 638,78,+/- 136,359,+/- 396,414,+/- 432,283,+/- 291,"1,749","+/- 1,207",88,+/- 148,39,+/- 77,"7,854","+/- 2,559",749,+/- 718,"2,639","+/- 2,472",0,+/- 201,487,+/- 481,0,+/- 201,"5,383","+/- 1,750","15,767","+/- 3,797",657,+/- 661,0,+/- 201,"1,087",+/- 836,"1,539","+/- 1,193",0,+/- 201,958,+/- 641,12,+/- 25,"8,958","+/- 2,034",573,+/- 602,0,+/- 201,"8,385","+/- 1,955"
California,"39,085,984","+/- 10,045","34,009,331","+/- 68,358","4,234,770","+/- 58,169","523,131","+/- 20,053","3,715","+/- 1,429","2,606",+/- 777,"26,907","+/- 4,106","3,471","+/- 1,508",N/A,N/A,"25,038","+/- 4,892","5,935","+/- 2,368",491,+/- 325,"6,818","+/- 1,816","24,611","+/- 4,231","10,233","+/- 2,494","12,776","+/- 2,650","5,626","+/- 1,851","27,117","+/- 4,064","5,190","+/- 1,419","4,163","+/- 1,439","5,202","+/- 2,088","3,431","+/- 1,448","5,169","+/- 1,666","2,578","+/- 1,842","11,303","+/- 2,985","16,774","+/- 2,692","11,538","+/- 3,334","7,487","+/- 1,769","3,299","+/- 1,175","6,841","+/- 1,705","2,809","+/- 1,301","2,419","+/- 1,022","23,768","+/- 4,238","1,216",+/- 557,"12,906","+/- 2,336","5,312","+/- 1,529","34,278","+/- 3,962","13,523","+/- 2,862","2,223","+/- 1,392","11,410","+/- 2,000","4,890","+/- 1,770","20,548","+/- 2,993","16,141","+/- 2,831","1,763",+/- 703,"7,134","+/- 2,127","1,403",+/- 792,"5,413","+/- 1,361","40,999","+/- 5,372","9,925","+/- 2,313",895,+/- 493,"21,162","+/- 4,009","33,143","+/- 4,599",789,+/- 525,"9,348","+/- 3,574","1,395",+/- 994,"318,752","+/- 16,837","1,864",+/- 876,842,+/- 422,"316,046","+/- 16,679"
Colorado,"5,542,282","+/- 3,414","4,546,729","+/- 22,932","734,182","+/- 22,118","226,933","+/- 11,475","3,120","+/- 1,592","2,030","+/- 1,552","6,765","+/- 1,768","1,356",+/- 756,"27,014","+/- 4,200",N/A,N/A,"1,800",+/- 881,764,+/- 598,863,+/- 543,"12,385","+/- 3,620","4,712","+/- 1,698","3,512","+/- 1,848","2,984","+/- 1,724","10,652","+/- 3,489","2,754","+/- 1,255","3,035","+/- 1,256","6,653","+/- 3,069","2,195","+/- 1,269","2,195",+/- 741,448,+/- 378,"3,420","+/- 1,502","2,785",+/- 988,"2,661",+/- 931,"4,369","+/- 2,199","1,085",+/- 609,"3,774","+/- 1,098",675,+/- 366,"4,541","+/- 1,410","3,800","+/- 1,211","1,416",+/- 959,"5,166","+/- 1,902","4,715","+/- 1,379","8,560","+/- 3,346","6,273","+/- 2,170","1,286",+/- 818,"5,144","+/- 1,295","5,180","+/- 1,829","4,359","+/- 1,553","4,840","+/- 1,799",963,"+/- 1,007","2,221","+/- 1,415","1,453",+/- 730,"2,453","+/- 1,010","25,212","+/- 3,796","3,417","+/- 1,351",471,+/- 432,"6,099","+/- 2,231","6,675","+/- 2,062",42,+/- 55,"3,506","+/- 1,224","5,135","+/- 1,877","34,438","+/- 5,150",828,+/- 652,568,+/- 382,"33,042","+/- 4,876"
Connecticut,"3,556,297","+/- 2,701","3,136,666","+/- 16,246","311,726","+/- 14,866","83,325","+/- 6,561",206,+/- 226,540,+/- 753,644,+/- 625,160,+/- 185,"2,807","+/- 1,064",370,+/- 327,N/A,N/A,463,+/- 345,414,+/- 312,"6,589","+/- 1,608","1,531",+/- 920,473,+/- 430,0,+/- 207,697,+/- 530,534,+/- 418,0,+/- 207,0,+/- 207,227,+/- 301,716,+/- 619,627,+/- 526,992,+/- 604,"12,004","+/- 2,598",376,+/- 322,160,+/- 202,0,+/- 207,"1,601",+/- 918,0,+/- 207,154,+/- 262,142,+/- 239,472,+/- 351,"3,930","+/- 1,991",825,+/- 425,"28,542","+/- 4,348","1,910",+/- 885,187,+/- 224,"1,171",+/- 911,400,+/- 457,579,+/- 467,"3,263","+/- 1,389","2,061",+/- 828,"1,019",+/- 810,0,+/- 207,166,+/- 194,"3,698","+/- 1,364",149,+/- 168,393,+/- 332,"1,314",+/- 654,374,+/- 287,0,+/- 207,188,+/- 217,257,+/- 265,"24,580","+/- 4,479","3,780","+/- 2,431",0,+/- 207,"20,800","+/- 3,534"
Delaware,"952,449","+/- 1,698","830,905","+/- 8,792","78,998","+/- 7,077","38,532","+/- 4,552",506,+/- 507,0,+/- 198,76,+/- 121,0,+/- 198,580,+/- 512,144,+/- 152,174,+/- 190,N/A,N/A,316,+/- 269,"1,335",+/- 906,179,+/- 258,110,+/- 192,0,+/- 198,857,"+/- 1,017",41,+/- 76,0,+/- 198,0,+/- 198,21,+/- 37,73,+/- 103,0,+/- 198,"9,748","+/- 2,316",396,+/- 296,441,+/- 683,45,+/- 79,0,+/- 198,153,+/- 252,0,+/- 198,0,+/- 198,0,+/- 198,0,+/- 198,"4,006","+/- 1,321",44,+/- 71,"3,564","+/- 1,346",327,+/- 375,0,+/- 198,80,+/- 102,295,+/- 362,104,+/- 172,"11,035","+/- 2,639",0,+/- 198,144,+/- 199,0,+/- 198,318,+/- 443,"1,152",+/- 953,32,+/- 55,59,+/- 94,"1,510",+/- 685,0,+/- 198,371,+/- 591,296,+/- 353,0,+/- 198,"4,014","+/- 1,272",260,+/- 241,66,+/- 110,"3,688","+/- 1,174"
District of Columbia ,"684,810","+/- 1,664","554,225","+/- 7,670","64,013","+/- 6,510","56,231","+/- 4,393",494,+/- 417,0,+/- 208,549,+/- 667,105,+/- 146,"3,763","+/- 1,034","1,109",+/- 667,"1,149",+/- 624,375,+/- 336,N/A,N/A,"1,182",+/- 530,"1,507",+/- 643,29,+/- 47,161,+/- 184,"2,726",+/- 945,710,+/- 574,17,+/- 29,0,+/- 208,285,+/- 452,461,+/- 452,122,+/- 126,"10,835","+/- 1,863","2,669",+/- 723,808,+/- 396,436,+/- 391,157,+/- 182,466,+/- 319,0,+/- 208,0,+/- 208,128,+/- 141,88,+/- 141,"2,590","+/- 1,443",206,+/- 353,"5,238","+/- 1,495","1,867",+/- 893,5,+/- 13,"1,026",+/- 500,0,+/- 208,37,+/- 62,"1,824",+/- 640,296,+/- 336,235,+/- 214,0,+/- 208,"1,057",+/- 609,"2,858","+/- 1,430",384,+/- 360,447,+/- 456,"7,509","+/- 1,565",206,+/- 231,0,+/- 208,115,+/- 145,0,+/- 208,"10,341","+/- 2,210",356,+/- 325,78,+/- 130,"9,907","+/- 2,249"
